City,Town,Count,households,population,time,households_per_count,population_per_count,Dispersion,SpatialEntropy
新北市,三峽區,64,46754,115335,113Y12M,730.53125,1802.109375,0.03850930300357171,2.263341416782416
新北市,三芝區,27,10090,22080,113Y12M,373.7037037037037,817.7777777777778,0.029471645915803455,2.056780764632065
新北市,三重區,119,165752,383355,113Y12M,1392.873949579832,3221.470588235294,0.017165105900079306,3.6055497388986177
新北市,中和區,114,177153,405956,113Y12M,1553.9736842105262,3561.0175438596493,0.020143713576195696,2.9394168873696955
新北市,五股區,39,39187,93860,113Y12M,1004.7948717948718,2406.6666666666665,0.03276487255522258,2.4057501139664486
新北市,八里區,42,18446,42674,113Y12M,439.1904761904762,1016.047619047619,0.03371723267968565,2.8155478188314187
新北市,土城區,51,97113,241224,113Y12M,1904.1764705882354,4729.882352941177,0.027129685516607636,2.315393455226414
新北市,坪林區,11,2560,6324,113Y12M,232.72727272727272,574.9090909090909,0.0364084107202328,1.666332585328325
新北市,平溪區,13,2126,4049,113Y12M,163.53846153846155,311.46153846153845,0.022678537154414837,1.8184831630123652
新北市,新店區,119,138508,306571,113Y12M,1163.9327731092437,2576.2268907563025,0.03229509985082181,2.4913831910547453
新北市,新莊區,165,171874,423503,113Y12M,1041.6606060606061,2566.6848484848483,0.02438519131149054,2.933046519493448
新北市,板橋區,194,231201,553538,113Y12M,1191.7577319587629,2853.2886597938145,0.01767745982994597,3.2698551991444766
新北市,林口區,65,57446,136075,113Y12M,883.7846153846153,2093.4615384615386,0.024252543734376585,2.414801616987337
新北市,樹林區,65,69770,178981,113Y12M,1073.3846153846155,2753.5538461538463,0.029874997927054295,2.8553752716128953
新北市,永和區,55,93645,213742,113Y12M,1702.6363636363637,3886.2181818181816,0.012027020513104824,3.0068813700173846
新北市,汐止區,81,97707,210817,113Y12M,1206.2592592592594,2602.679012345679,0.02455143958921871,2.573219080501155
新北市,泰山區,30,30839,77667,113Y12M,1027.9666666666667,2588.9,0.013097191447723972,2.8117964276298957
新北市,淡水區,94,96988,200726,113Y12M,1031.787234042553,2135.3829787234044,0.031783148649380394,2.8950414590561913
新北市,深坑區,14,10239,23636,113Y12M,731.3571428571429,1688.2857142857142,0.010768246433504354,1.828841156174199
新北市,烏來區,14,1911,6309,113Y12M,136.5,450.64285714285717,0.04148020801671345,1.7671949977916748
新北市,瑞芳區,42,16042,36330,113Y12M,381.95238095238096,865.0,0.043360284973765525,2.5219655731311947
新北市,石碇區,21,3340,7068,113Y12M,159.04761904761904,336.57142857142856,0.026950101002761667,1.8853355890558803
新北市,石門區,14,4250,10397,113Y12M,303.57142857142856,742.6428571428571,0.029426203533711424,1.8711604142318066
新北市,萬里區,27,7728,20622,113Y12M,286.22222222222223,763.7777777777778,0.03634097469787423,2.1914339105429956
新北市,蘆洲區,51,76666,198359,113Y12M,1503.2549019607843,3889.392156862745,0.011116709460814677,3.2655949880024493
新北市,貢寮區,20,4240,10719,113Y12M,212.0,535.95,0.04462110471635911,2.0388550509975096
新北市,金山區,23,7414,20059,113Y12M,322.3478260869565,872.1304347826087,0.025008751023324526,1.9417850586313683
新北市,雙溪區,18,3532,7686,113Y12M,196.22222222222223,427.0,0.03295290796338384,1.7147431158325055
新北市,鶯歌區,33,35294,89339,113Y12M,1069.5151515151515,2707.242424242424,0.01609766424780479,3.086715272448053
