City,Town,Count,households,population,time,households_per_count,population_per_count,Dispersion,SpatialEntropy
臺北市,中山區,34,101946,215245,113Y12M,2998.4117647058824,6330.735294117647,0.02238850363018004,2.5495092843444143
臺北市,中正區,25,65637,148375,113Y12M,2625.48,5935.0,0.015505088634942397,3.052520501533812
臺北市,信義區,25,89966,205067,113Y12M,3598.64,8202.68,0.013822377362762388,2.9552088755878536
臺北市,內湖區,37,111767,273748,113Y12M,3020.7297297297296,7398.594594594595,0.022416184966045097,3.109699673770627
臺北市,北投區,37,100163,240623,113Y12M,2707.108108108108,6503.324324324324,0.026565755850398488,2.8191440841660773
臺北市,南港區,22,48459,112643,113Y12M,2202.681818181818,5120.136363636364,0.01828427312488846,2.7129621730528912
臺北市,士林區,40,108840,264194,113Y12M,2721.0,6604.85,0.02835316881367336,2.9201007670176047
臺北市,大同區,25,53751,118992,113Y12M,2150.04,4759.68,0.010967245309046787,2.941616952644222
臺北市,大安區,32,120306,289908,113Y12M,3759.5625,9059.625,0.018977210567468164,2.775311426439002
臺北市,文山區,52,109543,258333,113Y12M,2106.596153846154,4967.942307692308,0.02007799710169364,3.1531340205194733
臺北市,松山區,30,80793,191826,113Y12M,2693.1,6394.2,0.012807677655310082,2.9678674685340365
臺北市,萬華區,23,80322,171915,113Y12M,3492.2608695652175,7474.565217391304,0.012319323349652595,2.954673212304816
