City,Town,容納人數,收容所面積（平方公尺）,人口數,每人可分配收容所面積（平方公尺）,每萬人可分配收容所面積（平方公尺）
臺北市,中山區,42741,363253.93,3143863,0.11554381663577579,1155.44
臺北市,中正區,16030,70708.19,2202305,0.03210644756289433,321.06
臺北市,信義區,15411,88501.63,3076988,0.028762422862877595,287.62
臺北市,內湖區,13218,318561.1,3942703,0.08079764187157897,807.98
臺北市,北投區,20854,131106.42,3518737,0.037259511012047795,372.6
臺北市,南港區,17982,121619.26,1659451,0.07328885330148344,732.89
臺北市,士林區,27399,331624.43,3939088,0.084188124256173,841.88
臺北市,大同區,9536,73552.45,1762564,0.04173037120921566,417.3
臺北市,大安區,51676,322704.06,4265586,0.07565292553004441,756.53
臺北市,文山區,12393,76720.53,3757514,0.020417895981225884,204.18
臺北市,松山區,11060,85108.09,2845460,0.029910134038081716,299.1
臺北市,萬華區,50966,499800.18,2606397,0.19175903747587186,1917.59
