旅遊景點,lat,lon,AED_5km,警消_5km,防空疏散地點_5km,避難收容所_5km
陽明山遊客中心,25.137403,121.54202,292,19,3926,56
陽明書屋,25.137403,121.54202,292,19,3926,56
陽明公園,25.044918,121.51677,1642,151,14572,225
大屯遊憩區,25.148842,121.50517,259,24,3418,60
龍鳳谷遊憩區,25.03752,121.56368,1561,117,12392,182
小油坑遊憩區,25.176049,121.544341,56,4,103,4
國立故宮博物院,25.09674,121.547186,745,58,8363,123
市立美術館,25.03752,121.56368,1561,117,12392,182
國立歷史博物館,25.1608,121.406643,100,8,365,30
國立臺灣科學教育館,25.03752,121.56368,1561,117,12392,182
市立天文科學教育館,25.03752,121.56368,1561,117,12392,182
國父紀念館,25.045032,121.515025,1588,154,14478,219
國立中正紀念堂,25.051865,121.54671,1783,157,14990,213
臺北探索館,25.045032,121.515025,1588,154,14478,219
台北當代藝術館,25.044743,121.53953,1767,167,15403,228
北投溫泉博物館,25.13338,121.5024,325,23,4507,73
台北故事館,25.045032,121.515025,1588,154,14478,219
凱達格蘭文化館,25.136093,121.49714,299,25,3999,69
國民革命忠烈祠,25.03752,121.56368,1561,117,12392,182
國立臺灣藝術教育館,25.03752,121.56368,1561,117,12392,182
市立動物園,25.059283,121.611704,571,64,3967,99
士林官邸公園,25.044918,121.51677,1642,151,14572,225
臺北自來水園區,25.059069,121.611979,569,64,3952,97
關渡自然公園,25.12306,121.46691,240,30,2488,68
美麗華摩天輪,25.03752,121.56368,1561,117,12392,182
台北101景觀台,25.044743,121.53953,1767,167,15403,228
龍山寺,25.03752,121.56368,1561,117,12392,182
臺北市孔廟,25.044743,121.53953,1767,167,15403,228
國立臺灣博物館,25.03752,121.56368,1561,117,12392,182
台北市立兒童新樂園,25.044743,121.53953,1767,167,15403,228
台北植物園,25.044743,121.53953,1767,167,15403,228
華山1914文化創意產業園區,25.059283,121.611704,571,64,3967,99
冷水坑,25.155785,121.562144,69,5,451,11
擎天崗,25.03752,121.56368,1561,117,12392,182
松山文創園區,25.059283,121.611704,571,64,3967,99
白石湖吊橋,25.02089,121.7193,13,2,2,10
國立故宮博物院,25.09674,121.547186,745,58,8363,123
臺北市立美術館,25.044743,121.53953,1767,167,15403,228
國立歷史博物館,25.1608,121.406643,100,8,365,30
國立臺灣科學教育館,25.03752,121.56368,1561,117,12392,182
臺北市立天文科學教育館,25.044743,121.53953,1767,167,15403,228
國立國父紀念館,25.045032,121.515025,1588,154,14478,219
國立中正紀念堂,25.051865,121.54671,1783,157,14990,213
臺北探索館,25.045032,121.515025,1588,154,14478,219
台北當代藝術館,25.044743,121.53953,1767,167,15403,228
北投溫泉博物館,25.13338,121.5024,325,23,4507,73
圓山別莊,25.06329,121.56591,1395,111,11510,172
凱達格蘭文化館,25.136093,121.49714,299,25,3999,69
國立臺灣博物館,25.03752,121.56368,1561,117,12392,182
國民革命忠烈祠,25.03752,121.56368,1561,117,12392,182
國立臺灣藝術教育館,25.03752,121.56368,1561,117,12392,182
臺北市立動物園,25.059283,121.611704,571,64,3967,99
士林官邸公園,25.044918,121.51677,1642,151,14572,225
臺北自來水園區,25.059069,121.611979,569,64,3952,97
關渡自然公園,25.12306,121.46691,240,30,2488,68
美麗華摩天輪,25.03752,121.56368,1561,117,12392,182
台北101景觀台,25.044743,121.53953,1767,167,15403,228
臺北市孔廟,25.044743,121.53953,1767,167,15403,228
臺北市立兒童新樂園,25.044743,121.53953,1767,167,15403,228
台北植物園,25.044743,121.53953,1767,167,15403,228
華山1914文化創意產業園區,25.059283,121.611704,571,64,3967,99
松山文創園區,25.059283,121.611704,571,64,3967,99
白石湖吊橋,25.02089,121.7193,13,2,2,10
陽明山遊客中心,25.137403,121.54202,292,19,3926,56
陽明書屋,25.137403,121.54202,292,19,3926,56
陽明公園,25.044918,121.51677,1642,151,14572,225
大屯遊憩區,25.148842,121.50517,259,24,3418,60
龍鳳谷遊憩區,25.03752,121.56368,1561,117,12392,182
小油坑遊憩區,25.176049,121.544341,56,4,103,4
冷水坑,25.155785,121.562144,69,5,451,11
擎天崗,25.03752,121.56368,1561,117,12392,182
台北探索館,25.045032,121.515025,1588,154,14478,219
台北101,25.044743,121.53953,1767,167,15403,228
